task_id,trial,step_idx,wall_time_seconds,llm_latency_seconds,prompt_tokens,completion_tokens,num_tool_calls,tool_stall_time_seconds,gpu_memory_before_mb,gpu_memory_after_mb,kv_cache_estimate_mb,tool_idle_window_seconds
2,0,2,3.978810000931844,3.96746515086852,4872,69,0,0,7680.4677734375,7680.505859375,428.203125,0.0
2,0,3,1.7992036358918995,,,,0,0,,,,0.0
2,0,4,2.4169076569378376,2.4048755241092294,4989,31,1,0.000285180052742362,7680.46875,7680.50732421875,438.486328125,0.012032132828608155
2,0,5,0.0005895069334656,,,,0,0,,,,0.0
2,0,6,3.099829080980271,3.084694259800017,5560,44,1,0.00027150404639542103,7680.4775390625,7680.5205078125,488.671875,0.015134821180254221
2,0,7,0.0005847180727869272,,,,0,0,,,,0.0
2,0,8,3.2126429551281035,3.198284605052322,5617,46,1,0.0009481760207563639,7680.478515625,7680.52197265625,493.681640625,0.014358350075781345
2,0,9,0.0012533338740468025,,,,0,0,,,,0.0
2,0,10,23.24945513601415,23.233785192016512,7599,512,0,0,7680.5087890625,7680.57080078125,667.880859375,0.0
2,0,11,3.207983138039708,,,,0,0,,,,0.0
2,0,12,3.1010081451386213,3.08617159887217,8191,25,1,0.0002425189595669508,7680.517578125,7680.58056640625,719.912109375,0.014836546266451478
2,0,13,0.0005534789524972439,,,,0,0,,,,0.0
2,0,14,12.196093086153269,12.180515656946227,8627,239,0,0,7680.5244140625,7680.59228515625,758.232421875,0.0
2,0,15,5.9583201529458165,,,,0,0,,,,0.0
2,0,16,6.767322623170912,6.751618132926524,9009,106,1,0.00012396485544741154,7680.5302734375,7680.60009765625,791.806640625,0.01570449024438858
2,0,17,0.0004405849613249302,,,,0,0,,,,0.0
2,0,18,3.1386424449738115,3.1235573501326144,9134,19,0,0,7680.5322265625,7680.6025390625,802.79296875,0.0
2,0,19,0.5543648980092257,,,,0,0,,,,0.0
3,0,1,3.9389698409941047,,,,0,0,,,,0.0
3,0,2,2.1805740389972925,2.1699043880216777,4946,25,1,0.00021645007655024529,7680.46875,7680.5068359375,434.70703125,0.010669650975614786
3,0,3,0.0005261760670691729,,,,0,0,,,,0.0
3,0,4,5.436558185145259,5.405584410997108,5238,101,0,0,7680.47265625,7680.513671875,460.37109375,0.0
3,0,5,2.5993789001367986,,,,0,0,,,,0.0
3,0,6,5.438093413831666,5.423643613001332,5406,100,0,0,7680.4755859375,7680.51806640625,475.13671875,0.0
3,0,7,1.761562388157472,,,,0,0,,,,0.0
4,0,1,4.283310564002022,,,,0,0,,,,0.0
4,0,2,3.428914014948532,3.4176601879298687,4955,55,1,0.0001235238742083311,7680.46875,7680.50732421875,435.498046875,0.011253827018663287
4,0,3,0.0004324088804423809,,,,0,0,,,,0.0
4,0,4,1.9511238159611821,1.9369141899514943,5025,19,0,0,7680.4697265625,7680.50830078125,441.650390625,0.0
4,0,5,0.29842839087359607,,,,0,0,,,,0.0
